Round 1: 6443,1,2,1
Round 2: 12889,1,2,1
Round 3: 19330,2,6,2
Round 4: 25773,2,10,1
Round 5: 32217,2,12,2

13,7
31,6
51,6
70,9
71,3
90,4
94,9
115,7
127,8
136,7
142,0
169,4
171,2
176,8
181,2
198,4
203,6
207,2
218,7
224,6
267,1
275,9
282,2
320,0
327,3
330,9
348,1
356,8
390,7
408,8
423,5
428,5
439,3
446,3
451,9
452,9
454,0
481,7
489,8
494,4
507,8
519,3
521,7
526,3
545,7
558,9
563,0
573,8
587,3
602,2
625,2
630,0
646,4
649,4
654,6
721,7
724,4
731,9
733,0
734,6
741,8
744,8
823,2
851,6
859,3
890,8
901,0
918,8
926,4
951,7
1005,3
1025,2
1059,6
1061,6
1062,3
1082,0
1088,0
1092,3
1094,1
1106,4
1114,3
1115,7
1129,1
1134,1
1156,0
1164,4
1170,5
1171,2
1173,9
1180,2
1186,9
1194,6
1203,9
1206,7
1218,0
1227,1
1232,8
1281,2
1292,9
1297,8
1300,0
1324,5
1338,8
1373,5
1385,4
1405,8
1417,4
1426,7
1451,4
1460,3
1464,8
1505,2
1506,7
1512,4
1552,8
1577,3
1590,2
1617,5
1634,4
1643,4
1649,4
1692,1
1715,3
1757,2
1770,6
1778,0
1790,4
1801,8
1806,0
1815,6
1830,6
1850,5
1871,2
1875,6
1914,3
2009,4
2025,9
2041,0
2062,0
2077,7
2084,1
2091,7
2092,2
2094,2
2097,0
2132,6
2141,1
2153,1
2169,5
2225,5
2242,0
2256,7
2262,1
2263,1
2278,8
2283,1
2301,0
2304,7
2309,1
2321,2
2336,7
2340,9
2368,4
2376,0
2386,2
2387,7
2412,8
2423,7
2453,6
2464,7
2476,8
2477,4
2492,3
2503,8
2510,6
2515,1
2529,6
2540,7
2556,4
2578,7
2590,8
2611,0
2622,1
2671,4
2672,6
2678,6
2729,5
2747,8
2754,0
2779,4
2804,1
2820,3
2829,8
2847,8
2853,3
2858,7
2866,8
2901,4
2924,1
2933,9
2936,2
2940,9
2950,6
2952,0
2974,8
2998,5
3001,1
3007,2
3008,2
3010,8
3041,8
3046,1
3081,4
3091,8
3096,8
3105,8
3118,7
3161,2
3206,5
3207,2
3212,8
3228,4
3234,5
3274,2
3304,9
3314,3
3322,1
3328,4
3347,7
3388,6
3395,0
3409,7
3434,1
3455,2
3457,4
3459,7
3463,1
3468,1
3478,1
3487,4
3512,1
3532,3
3536,7
3538,4
3548,9
3589,1
3594,0
3618,8
3632,4
3654,0
3677,2
3680,9
3683,4
3693,0
3696,3
3708,4
3724,3
3726,1
3752,2
3770,8
3814,9
3846,2
3865,8
3887,7
3899,3
3929,9
3930,9
3935,4
3942,0
3953,9
3981,0
3993,3
4003,3
4034,6
4038,8
4040,0
4057,1
4109,6
4135,3
4152,8
4159,0
4161,6
4170,8
4212,2
4216,8
4222,0
4250,6
4273,3
4279,8
4280,6
4300,7
4304,2
4307,8
4319,4
4326,0
4336,9
4350,4
4369,5
4393,8
4394,4
4411,5
4435,4
4464,2
4496,4
4509,8
4517,4
4520,4
4536,7
4563,8
4583,1
4599,7
4604,3
4617,4
4622,7
4627,0
4651,2
4687,7
4717,3
4726,4
4736,2
4744,0
4752,9
4778,2
4780,1
4784,4
4787,7
4791,8
4799,7
4828,0
4829,6
4851,4
4857,9
4870,2
4896,0
4899,8
4901,2
4902,0
4904,2
4921,4
4946,6
4954,0
4955,4
4964,8
4992,4
4994,4
5000,2
5008,4
5019,1
5029,0
5080,8
5123,0
5126,3
5131,1
5146,0
5172,8
5215,4
5216,7
5219,3
5220,0
5233,8
5266,8
5273,7
5312,4
5348,4
5351,2
5369,3
5380,8
5381,2
5401,5
5413,1
5481,5
5503,5
5512,6
5537,9
5583,7
5585,8
5595,9
5598,4
5601,7
5618,8
5665,0
5670,0
5698,0
5706,4
5718,5
5737,0
5744,1
5748,1
5751,6
5756,0
5769,6
5814,1
5821,7
5839,2
5841,1
5869,0
5874,4
5883,0
5885,0
5887,6
5895,2
5936,4
5954,9
5993,1
6012,0
6027,6
6028,4
6061,2
6064,6
6075,9
6087,4
6104,0
6133,8
6145,6
6158,6
6188,2
6199,3
6223,3
6229,2
6251,5
6304,8
6309,5
6316,2
6325,2
6333,6
6349,8
6350,8
6355,2
6376,3
6404,5
6411,1
6481,0
6491,8
6517,6
6523,6
6533,4
6548,9
6554,4
6584,8
6623,5
6630,4
6644,9
6659,8
6683,9
6706,4
6713,1
6715,8
6717,2
6739,7
6748,5
6754,0
6792,2
6793,0
6821,1
6824,0
6831,7
6834,7
6837,4
6851,0
6875,6
6878,5
6885,6
6888,0
6895,8
6898,8
6930,3
6944,9
6947,8
6973,5
6999,3
7005,0
7011,5
7018,1
7053,3
7070,9
7072,9
7091,3
7105,1
7172,6
7176,0
7182,9
7185,6
7200,4
7204,8
7263,5
7274,7
7280,7
7295,7
7298,1
7320,4
7327,0
7346,9
7354,1
7376,1
7378,7
7388,7
7398,8
7418,8
7422,9
7446,0
7448,3
7468,2
7470,0
7479,7
7495,6
7504,5
7514,6
7520,0
7528,5
7566,0
7618,8
7619,4
7634,8
7673,6
7696,3
7704,3
7705,2
7709,5
7713,7
7726,9
7731,0
7732,3
7759,2
7788,2
7790,5
7822,4
7828,0
7845,3
7853,1
7877,0
7903,6
7911,8
7915,6
7942,8
7958,0
7963,4
7972,9
7989,3
